ta_check,description
Amazon Relational Database Service (RDS) Reserved Instance Optimization,"Description: Checks your usage of RDS and provides recommendations on purchase of Reserved Instances to help reduce costs incurred from using RDS On-Demand. AWS generates these recommendations by analyzing your On-Demand usage for the past 30 days. We then simulate every combination of reservations in the generated category of usage in order to identify the best number of each type of Reserved Instance to purchase to maximize your savings. This check covers recommendations based on partial upfront payment option with 1-year or 3-year commitment. This check is not available to accounts linked in Consolidated Billing. Recommendations are only available for the Paying Account.

Alert Criteria
Yellow: Optimizing the purchase of RDS Reserved Instances can help reduce costs.

Recommended Action
See the Cost Explorer page for more detailed recommendations, customization options (e.g. look-back period, payment option, etc.) and to purchase RDS Reserved Instances.

Additional Resources
Information on RDS Reserved Instances and how they can save you money can be found here.
For more information on this recommendation, see Reserved Instance Optimization Check Questions in the Trusted Advisor FAQs.
For more detailed description of fields, see Cost Explorer documentation"
Classic Load Balancer listeners should be configured with HTTPS or TLS termination,"Description: Checks if your Classic Load Balancer listeners are configured with HTTPS or TLS protocol for front-end (client to load balancer) connections. The check is applicable if a Classic Load Balancer has listeners. If your Classic Load Balancer does not have a listener configured, then the check does not report any findings.

Source
AWS Security Hub
Security Hub control ID: ELB.3

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Application load balancer should be configured to drop http headers,"Description: This check evaluates AWS Application Load Balancers (ALB) to ensure they are configured to drop http headers. By default, ALBs are not configured to drop invalid http header values. This check evaluates all ALBs fails if the attribute value of routing.http.drop_invalid_header_fields.enabled is set to false.

Source
AWS Security Hub
Security Hub control ID: ELB.4

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Application and Classic Load Balancers logging should be enabled,"Description: Checks if the Application Load Balancer and the Classic Load Balancer have logging enabled. The check fails if the access_logs.s3.enabled is false.

Source
AWS Security Hub
Security Hub control ID: ELB.5

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
IAM customer managed policies that you create should not allow wildcard actions for services,"Description: Checks if the IAM identity-based custom policies have Allow statements that grant permissions for all actions on a service. The check fails if any policy statement includes ""Effect"": ""Allow"" with ""Action"": ""Service:"".

Source
AWS Security Hub
Security Hub control ID: IAM.21

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
AWS WAF Classic Global Web ACL logging should be enabled,"Description: Checks if logging is enabled for a WAF global Web ACL. This check fails if logging is not enabled for the Web ACL.

Source
AWS Security Hub
Security Hub control ID: WAF.1

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Connections to Amazon Elasticsearch Service domains should be encrypted using TLS 1.2,"Description: Checks whether connections to Amazon Elasticsearch Service domains are required to use TLS 1.2.  The check fails if the Amazon Elasticsearch Service domain TLSSecurityPolicy is not Policy-Min-TLS-1-2-2019-07.

Source
AWS Security Hub
Security Hub control ID: ES.8

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Amazon RDS ReplicaLag,"Description: Checks to see if the ReplicaLag CloudWatch metric for an RDS database instance has increased above an operationally reasonable threshold over the past day.ReplicaLag metric measures the number of seconds a read replica is behind the primary instance. Replication lag occurs when the asynchronous updates made to the read replica cannot keep up with the updates happening on the primary database instance. In the event of a failure to the primary instance, data could be missing from the read replica if the ReplicaLag is above an operationally reasonable threshold.

Alert Criteria
Red: ReplicaLag metric exceeded 60 seconds at least once during the week.
Yellow: ReplicaLag metric exceeded 10 seconds at least once during the week.
Green: ReplicaLag is less than 10 seconds.

Recommended Action
There are several possible causes for ReplicaLag to increase beyond operationally safe levels.  For example, it can be caused by recently replaced/launched replica instances from older backups and these replicas requiring substantial time to catch-up to the primary database instance and live transactions. This ReplicaLag may dwindle over time as catch-up occurs. Another example could be that the transaction velocity able to be achieved on the primary database instance is higher than the replication process or replica infrastructure is able to match. This ReplicaLag may grow over time as replication fails to keep pace with the primary database performance.  Finally, the workload may be bursty throughout different periods of the day/month/etc. that result in occasional ReplicaLag to fall behind.  Your team should investigate which possible root cause has contributed to high ReplicaLag for the database, and possibly change the database instance type or other characteristics of the workload to ensure data continuity on the replica matches your requirements.

Additional Resources
Working with read replicas for Amazon RDS for PostgreSQL
Working with MySQL replication in Amazon RDS
Working with MySQL read replicas"
Amazon RDS FreeStorageSpace,"Description: Checks to see if the FreeStorageSpace CloudWatch metric for an RDS database instance has increased above an operationally reasonable threshold.

Alert Criteria
Red: FreeStorageSpace has reached / exceeded 90% of total capacity
Yellow: FreeStorageSpace is between 80% and 90% of total capacity
Green: FreeStorageSpace is less than 80% of total capacity

Recommended Action
Scale up the storage space for the RDS database instance that is running low on memory using the Amazon RDS Management Console, Amazon RDS API or AWS Command Line Interface."
Amazon RDS DiskQueueDepth,"Description: Checks to see if the CloudWatch metric DiskQueueDepth shows that number of queued writes to the RDS Instance database storage has grown to a level where an operational investigation should be suggested.

Alert Criteria
Red: DiskQueueDepth CloudWatch metric has exceeded 10
Yellow: DiskQueueDepth CloudWatch metric is greater than 5 but less than or equal to 10
Green: DiskQueueDepth CloudWatch metric is less than or equal to 5

Recommended Action
Consider moving to instances and storage volumes that support the read/write characteristics."
